termin	predlog	padezh	chastota	logDice
действие	на	Gen	3	4.13
вычисление	путем	Gen	3	4.35
вычисление	согласно	Dat	3	4.13
вычисление	под	Ins	3	3.95
вычисление	у	Gen	3	3.78
вычисление	над	Ins	3	3.78
путь	из	Dat	3	3.64
путь	вместо	Gen	3	3.54
конец	после	Gen	3	3.9
конец	по	Acc	3	3.85
конец	в	Gen	3	2.94
цифра	перед	Ins	3	4.17
цифра	кроме	Gen	3	4.13
цифра	п	Gen	3	4.13
цифра	при	Gen	3	4.1
цифра	относительно	Gen	3	3.89
цифра	со	Ins	3	3.62
преобразование	вместо	Gen	3	4.33
преобразование	под	Ins	3	4.07
преобразование	от	Gen	3	3.0
круг	n	Gen	3	5.21
круг	при	Gen	3	4.98
круг	среди	Gen	3	4.74
раз	𝑠	Acc	3	3.69
раз	из	Acc	3	3.68
раз	п	Gen	3	3.61
раз	по	Acc	3	3.41
раз	с	Ins	3	1.59
ход	𝑥	Acc	3	4.94
ход	через	Gen	3	4.73
ход	по	Gen	3	4.68
ход	про	Acc	3	4.62
ход	среди	Gen	3	4.53
ход	об	Loc	3	4.53
ход	у	Gen	3	4.15
ход	со	Ins	3	4.05
замечание	ввиду	Gen	3	6.02
замечание	после	Gen	3	5.1
переход	к	Loc	3	5.4
переход	вместо	Gen	3	5.11
переход	со	Ins	3	4.3
переход	за	Acc	3	4.03
корень	к	Gen	3	4.42
движение	за	Gen	3	4.22
движение	без	Gen	3	3.93
движение	на	Loc	3	1.88
прогрессия	вдоль	Gen	3	6.28
прогрессия	о	Loc	3	3.83
прогрессия	в	Acc	3	2.05
ряд	при	Acc	3	3.84
ограничение	под	Acc	3	5.48
ограничение	вместо	Gen	3	5.25
ограничение	про	Acc	3	5.14
ограничение	об	Loc	3	5.02
ограничение	относительно	Gen	3	4.85
ограничение	по	Dat	3	2.04
вероятность	про	Loc	3	2.85
вероятность	под	Acc	3	2.83
вероятность	около	Gen	3	2.82
вероятность	под	Ins	3	2.7
событие	-	Gen	3	4.2
событие	под	Ins	3	3.87
событие	через	Acc	3	3.71
событие	со	Ins	3	3.64
пересечение	среди	Gen	3	4.62
пересечение	у	Gen	3	4.21
пересечение	по	Dat	3	1.99
отрезок	по	Gen	3	4.36
отрезок	про	Acc	3	4.31
отрезок	об	Loc	3	4.24
отрезок	после	Gen	3	4.14
отрезок	через	Acc	3	3.91
отрезок	со	Ins	3	3.83
отрезок	за	Acc	3	3.63
край	через	Acc	3	4.9
край	из	Gen	3	1.74
расстояние	на	Gen	3	3.97
граница	около	Gen	3	4.85
граница	относительно	Gen	3	4.45
ситуация	вне	Gen	3	5.67
ситуация	в	Ins	3	5.44
термин	для	Gen	3	1.73
термин	из	Gen	3	1.67
цепочка	на	Loc	3	2.05
пара	кроме	Gen	3	3.65
пара	при	Gen	3	3.63
пара	по	Gen	3	3.61
пара	за	Ins	3	3.6
глава	в	Dat	3	4.38
глава	до	Gen	3	3.47
глава	в	Gen	3	3.0
глава	от	Gen	3	2.95
глава	для	Gen	3	1.63
аксиома	плюс	Gen	3	6.01
аксиома	среди	Gen	3	5.25
аксиома	за	Acc	3	4.21
жизнь	об	Loc	3	4.6
жизнь	через	Acc	3	4.19
жизнь	от	Gen	3	3.15
речь	под	Acc	3	6.27
количество	в	Nom	3	3.52
количество	в	Ins	3	3.46
количество	относительно	Gen	3	3.33
количество	под	Ins	3	3.31
количество	на	Gen	3	3.17
позиция	про	Acc	3	5.13
позиция	у	Gen	3	4.49
позиция	при	Loc	3	3.52
процесс	благодаря	Dat	3	4.28
процесс	при	Gen	3	4.19
процесс	со	Gen	3	4.11
процесс	про	Acc	3	4.11
процесс	после	Gen	3	3.97
процесс	со	Ins	3	3.68
цепь	внутри	Gen	3	5.64
объединение	за	Acc	3	4.1
противоречие	до	Gen	3	4.28
противоречие	на	Acc	3	2.44
пространство	𝑉	Gen	3	2.83
пространство	𝑉	Loc	3	2.83
пространство	𝑛	Ins	3	2.83
пространство	𝑛	Loc	3	2.83
пространство	в	Nom	3	2.8
область	под	Ins	3	3.37
область	о	Loc	3	2.82
деление	в	Ins	3	4.97
деление	относительно	Gen	3	4.62
деление	с	Gen	3	2.99
деление	в	Acc	3	1.95
человек	за	Ins	3	4.0
человек	про	Acc	3	3.97
человек	над	Ins	3	3.64
человек	в	Loc	3	-0.17
раздел	в	Nom	3	5.07
раздел	вне	Gen	3	5.06
раздел	после	Gen	3	4.58
раздел	со	Ins	3	4.17
раздел	в	Gen	3	3.25
структура	согласно	Dat	3	4.55
структура	у	Gen	3	4.1
наука	об	Loc	3	3.25
наука	между	Ins	3	2.97
наука	в	Gen	3	2.54
шар	около	Gen	3	5.09
шар	п	Gen	3	5.05
шар	вместо	Gen	3	4.96
шар	по	Gen	3	4.94
шар	от	Gen	3	3.21
объект	𝑚	Gen	3	4.01
объект	из	Nom	3	4.01
объект	𝑘	Gen	3	3.98
объект	𝑛	Gen	3	3.97
объект	в	Nom	3	3.96
объект	вместо	Gen	3	3.88
объект	за	Ins	3	3.87
модель	подобно	Dat	3	3.86
модель	под	Acc	3	3.83
модель	в	Ins	3	3.76
модель	согласно	Dat	3	3.71
модель	со	Ins	3	3.38
модель	при	Loc	3	2.89
мир	кроме	Gen	3	4.49
мир	внутри	Gen	3	4.42
мир	над	Ins	3	3.95
мир	на	Gen	3	3.91
состояние	над	Ins	3	3.97
состояние	за	Acc	3	3.68
разбиение	𝑛	Gen	3	5.17
разбиение	у	Gen	3	4.32
разбиение	на	Gen	3	4.26
соответствие	с	Loc	3	5.31
качество	между	Ins	3	3.65
равенство	вследствие	Gen	3	4.04
равенство	вместо	Gen	3	3.91
равенство	про	Acc	3	3.87
равенство	относительно	Gen	3	3.74
ось	под	Acc	3	5.1
ось	под	Ins	3	4.54
ось	на	Gen	3	4.23
ось	со	Ins	3	4.18
геометрия	по	Loc	3	4.19
геометрия	в	Nom	3	4.14
геометрия	об	Loc	3	3.94
геометрия	под	Ins	3	3.83
геометрия	через	Acc	3	3.67
геометрия	со	Ins	3	3.6
геометрия	между	Ins	3	3.52
плоскость	вдоль	Gen	3	4.19
плоскость	п	Gen	3	4.18
плоскость	вместо	Gen	3	4.13
плоскость	над	Ins	3	3.74
остаток	к	Acc	3	5.22
остаток	c	Ins	3	5.2
остаток	у	Gen	3	4.32
остаток	между	Ins	3	4.08
остаток	в	Gen	3	3.27
делитель	от	Gen	3	3.32
делитель	на	Loc	3	2.02
делитель	в	Loc	3	-0.12
код	без	Gen	3	4.22
код	между	Ins	3	3.96
код	за	Acc	3	3.84
вектор	𝑠	Gen	3	3.84
вектор	𝑚	Gen	3	3.84
вектор	п	Gen	3	3.76
вектор	про	Acc	3	3.69
вектор	под	Ins	3	3.55
вектор	со	Ins	3	3.36
описание	+	Gen	3	5.04
описание	в	Ins	3	4.79
описание	о	Loc	3	3.45
комбинация	при	Loc	3	3.61
применение	перед	Ins	3	4.78
применение	за	Gen	3	4.5
применение	об	Loc	3	4.49
применение	до	Gen	3	3.7
применение	в	Gen	3	3.17
угол	про	Acc	3	4.22
угол	среди	Gen	3	4.15
координата	среди	Gen	3	4.52
координата	относительно	Gen	3	4.4
координата	на	Gen	3	4.08
площадь	минус	Nom	3	5.11
площадь	без	Gen	3	4.28
площадь	между	Ins	3	4.01
площадь	с	Gen	3	2.96
соотношение	об	Loc	3	4.27
соотношение	без	Gen	3	3.97
величина	о	Gen	3	3.34
величина	помимо	Gen	3	3.32
величина	кроме	Gen	3	3.29
величина	на	Gen	3	3.01
величина	при	Loc	3	2.6
совокупность	о	Loc	3	3.82
совокупность	на	Acc	3	2.43
столбец	без	Gen	3	4.67
столбец	с	Gen	3	3.1
столбец	к	Dat	3	2.65
диаграмма	вне	Gen	3	5.07
диаграмма	вместо	Gen	3	4.9
диаграмма	под	Ins	3	4.53
диаграмма	до	Gen	3	3.83
игрок	про	Gen	3	5.51
игрок	со	Gen	3	5.06
игрок	без	Gen	3	4.5
игрок	о	Loc	3	3.58
игрок	к	Dat	3	2.61
стратегия	при	Gen	3	5.66
стратегия	в	Ins	3	5.62
стратегия	на	Acc	3	2.39
номер	c	Ins	3	5.01
номер	перед	Ins	3	4.93
номер	после	Gen	3	4.49
номер	через	Acc	3	4.21
читатель	среди	Gen	3	5.42
симметрия	после	Gen	3	4.7
симметрия	со	Ins	3	4.26
симметрия	к	Dat	3	2.59
линия	вместо	Gen	3	4.74
линия	по	Gen	3	4.73
линия	под	Ins	3	4.41
линия	со	Ins	3	4.08
счёт	вместо	Gen	3	5.64
дробь	на	Gen	3	4.49
дробь	с	Gen	3	3.08
разность	среди	Gen	3	5.12
разность	относительно	Gen	3	4.95
разность	при	Loc	3	3.56
грань	до	Gen	3	3.83
изучение	по	Gen	3	5.27
изучение	над	Ins	3	4.52
граф	про	Nom	3	2.07
граф	с	Nom	3	2.06
граф	на	Nom	3	2.05
граф	c	Gen	3	2.05
граф	вместо	Gen	3	2.03
граф	после	Gen	3	1.98
граф	под	Ins	3	1.97
ребро	плюс	Nom	3	3.59
ребро	к	Gen	3	3.56
занятие	до	Gen	3	4.11
картинка	под	Acc	3	6.03
картинка	кроме	Gen	3	5.85
картинка	внутри	Gen	3	5.69
картинка	под	Ins	3	5.1
картинка	при	Loc	3	3.64
картинка	в	Gen	3	3.46
т	от	?	3	3.94
т	по	?	3	3.94
т	до	Gen	3	3.21
т	при	Loc	3	2.92
город	возле	Gen	3	5.18
город	про	Acc	3	4.81
город	под	Ins	3	4.52
дорога	вдоль	Gen	3	6.05
дорога	о	Loc	3	3.78
дорога	от	Gen	3	3.43
дорога	в	Acc	3	2.03
карта	поверх	Gen	3	5.18
карта	в	Nom	3	5.06
карта	относительно	Gen	3	4.57
карта	у	Gen	3	4.28
карта	между	Ins	3	4.05
маршрут	до	Gen	3	4.27
маршрут	на	Acc	3	2.44
школьник	𝑛	Gen	3	6.27
школьник	со	Gen	3	5.7
школьник	среди	Gen	3	5.52
имя	перед	Ins	3	4.44
имя	про	Acc	3	4.28
имя	об	Loc	3	4.21
имя	за	Acc	3	3.61
рисунок	за	Acc	3	4.03
графа	про	Acc	3	4.97
графа	в	Gen	3	3.3
графа	в	Acc	3	1.96
упражнение	благодаря	Dat	3	5.15
цвет	от	Acc	3	4.57
цвет	𝑛	Gen	3	4.51
цвет	без	Gen	3	3.96
цвет	с	Gen	3	2.82
треугольник	среди	Gen	3	3.74
треугольник	над	Ins	3	3.51
клетка	относительно	Loc	3	5.0
клетка	𝑑	Gen	3	5.0
клетка	про	Acc	3	4.66
кусок	после	Gen	3	5.42
кусок	у	Gen	3	4.92
кусок	над	Ins	3	4.92
кусок	от	Gen	3	3.46
поверхность	о	Acc	3	4.88
поверхность	к	Gen	3	4.83
поверхность	внутри	Gen	3	4.65
поверхность	в	Gen	3	3.17
параграф	на	Acc	3	2.44
перестановка	кроме	Gen	3	4.69
перестановка	при	Gen	3	4.65
перестановка	по	Gen	3	4.6
перестановка	про	Acc	3	4.55
перестановка	среди	Gen	3	4.46
перестановка	между	Ins	3	3.89
перестановка	в	Gen	3	3.15
день	з	Gen	3	4.75
день	за	Ins	3	4.51
день	на	Loc	3	1.91
раскраска	+	Gen	3	6.06
раскраска	по	Gen	3	5.55
раскраска	под	Ins	3	5.02
раскраска	без	Gen	3	4.75
раскраска	через	Acc	3	4.68
раскраска	между	Ins	3	4.39
раскраска	до	Gen	3	4.11
раскраска	от	Gen	3	3.37
монета	в	Ins	3	5.17
орёл	об	Loc	3	5.78
орёл	без	Gen	3	5.06
орёл	на	Gen	3	4.89
орёл	за	Acc	3	4.44
орёл	из	Gen	3	1.75
перебор	до	Ins	3	6.93
перебор	для	Ins	3	6.92
перебор	путем	Gen	3	6.82
перебор	по	Ins	3	6.56
перебор	от	Gen	3	3.47
рис	с	Acc	3	4.99
матрица	п	Gen	3	3.75
матрица	между	Ins	3	3.28
распределение	за	Acc	3	3.25
распределение	до	Gen	3	3.2
кость	без	Gen	3	4.84
кость	о	Loc	3	3.76
ожидание	ξ	Gen	3	5.64
ожидание	около	Gen	3	5.42
ожидание	вместо	Gen	3	5.26
ожидание	между	Ins	3	4.24
ожидание	в	Acc	3	1.98
эксперимент	благодаря	Dat	3	5.77
эксперимент	при	Gen	3	5.52
эксперимент	после	Gen	3	5.02
эксперимент	до	Gen	3	4.07
эксперимент	при	Loc	3	3.58
отражение	из	Ins	3	6.11
отражение	при	Gen	3	5.73
отражение	за	Gen	3	5.37
отражение	с	Gen	3	3.14
доля	без	Gen	3	4.64
доля	к	Dat	3	2.64
предложение	со	Ins	3	4.61
предложение	на	Loc	3	2.05
фигура	внутрь	Gen	3	5.59
фигура	среди	Gen	3	4.99
положение	вместо	Gen	3	5.19
положение	согласно	Dat	3	5.08
положение	в	Gen	3	3.34
разложение	при	Gen	3	4.88
разложение	в	Ins	3	4.85
многоугольник	на	Nom	3	5.95
многоугольник	вокруг	Gen	3	5.76
стрелка	+	Gen	3	5.59
стрелка	вдоль	Gen	3	5.35
стрелка	при	Gen	3	5.28
стрелка	через	Acc	3	4.49
стрелка	между	Ins	3	4.22
куб	от	Gen	3	3.36
кубик	с	Gen	3	3.16
кубик	по	Dat	3	2.09
сфера	вне	Gen	3	5.55
сфера	у	Gen	3	4.54
частота	относительно	Gen	3	5.09
частота	до	Gen	3	4.11
частота	из	Gen	3	1.72
исход	после	Gen	3	4.95
исход	у	Gen	3	4.57
исход	на	Gen	3	4.5
автомат	среди	Gen	3	5.16
автомат	в	Gen	3	3.4
решётка	с	Gen	3	3.13
ящик	внутри	Gen	3	5.99
ящик	на	Acc	3	2.43
триангуляция	со	Ins	3	4.88
триангуляция	от	Gen	3	3.51
балл	со	Ins	3	4.61
балл	до	Gen	3	4.16
балл	в	Acc	3	2.02
уравнение	подобно	Dat	2	2.31
уравнение	у	Loc	2	2.31
уравнение	для	Acc	2	2.31
уравнение	посредством	Gen	2	2.3
уравнение	𝑘	Gen	2	2.3
уравнение	под	Acc	2	2.29
уравнение	после	Gen	2	2.17
уравнение	при	Loc	2	1.73
проблема	к	Loc	2	3.78
проблема	помимо	Gen	2	3.76
проблема	по	Gen	2	3.63
проблема	между	Ins	2	3.05
проблема	за	Acc	2	2.95
лекция	✅	Nom	2	3.88
лекция	среди	Gen	2	3.57
лекция	над	Ins	2	3.26
год	х	Gen	2	0.27
год	порядок	Gen	2	0.27
год	без	Gen	2	0.21
вид	через	Acc	2	2.03
вид	при	Loc	2	1.69
коэффициент	𝑒	Gen	2	3.55
коэффициент	п	Ins	2	3.55
коэффициент	на	Ins	2	3.54
коэффициент	при	Gen	2	3.43
коэффициент	над	Ins	2	3.04
решение	при	Acc	2	2.06
решение	над	Gen	2	2.06
решение	про	Acc	2	1.99
решение	согласно	Dat	2	1.99
век	про	Acc	2	3.93
век	со	Gen	2	3.92
век	по	Acc	2	3.66
век	через	Acc	2	3.48
век	между	Ins	2	3.28
книга	в	Dat	2	3.23
книга	помимо	Gen	2	3.21
книга	в	Ins	2	3.13
книга	согласно	Dat	2	3.08
книга	об	Loc	2	3.04
книга	до	Gen	2	2.56
сторона	-	Loc	2	3.15
сторона	п	Ins	2	3.14
сторона	на	Dat	2	3.14
сторона	из	Acc	2	3.14
сторона	c	Gen	2	3.11
сторона	при	Gen	2	3.05
сторона	внутри	Gen	2	3.03
пример	плюс	Nom	2	2.76
пример	из	Loc	2	2.76
пример	о	Acc	2	2.75
пример	ввиду	Gen	2	2.75
пример	на	Nom	2	2.73
пример	согласно	Dat	2	2.64
пример	среди	Gen	2	2.61
пример	о	Loc	2	2.06
тройка	вместо	Gen	2	4.98
тройка	по	Gen	2	4.96
квадрат	плюс	Nom	2	3.54
квадрат	n	Gen	2	3.54
квадрат	с	Nom	2	3.53
квадрат	вне	Gen	2	3.49
квадрат	п	Gen	2	3.45
квадрат	вокруг	Gen	2	3.44
квадрат	вместо	Gen	2	3.4
квадрат	после	Gen	2	3.23
время	при	Nom	2	2.21
время	к	Acc	2	2.2
время	о	Acc	2	2.2
время	с	Nom	2	2.2
время	спустя	Gen	2	2.19
время	помимо	Gen	2	2.19
время	вдоль	Gen	2	2.17
время	по	Acc	2	2.05
время	у	Gen	2	1.99
время	на	Gen	2	1.97
метод	π	Ins	2	2.63
метод	сверх	Gen	2	2.63
метод	к	Acc	2	2.62
метод	с	Acc	2	2.61
метод	перед	Ins	2	2.59
метод	вместо	Gen	2	2.54
метод	под	Ins	2	2.43
ответ	при	Nom	2	3.43
ответ	для	Nom	2	3.42
ответ	под	Acc	2	3.38
ответ	перед	Ins	2	3.37
ответ	об	Loc	2	3.2
ответ	над	Ins	2	2.96
ответ	у	Gen	2	2.96
ответ	между	Ins	2	2.81
ответ	на	Loc	2	1.2
вопрос	вокруг	Gen	2	3.04
вопрос	об	Loc	2	2.93
вопрос	относительно	Gen	2	2.87
вопрос	со	Ins	2	2.67
вопрос	при	Loc	2	2.21
теорема	о	Gen	2	2.33
теорема	ввиду	Gen	2	2.33
теорема	c	Acc	2	2.33
теорема	c	Nom	2	2.33
теорема	посредством	Gen	2	2.32
теорема	к	Loc	2	2.32
теорема	перед	Ins	2	2.3
теорема	против	Gen	2	2.3
теорема	кроме	Gen	2	2.29
теорема	на	Gen	2	2.07
случай	из	Loc	2	1.87
случай	𝑚	Loc	2	1.87
случай	з	Loc	2	1.87
случай	о	Acc	2	1.86
случай	с	Loc	2	1.86
случай	п	Loc	2	1.86
случай	благодаря	Dat	2	1.85
случай	по	Ins	2	1.85
случай	под	Acc	2	1.85
случай	без	Gen	2	1.7
случай	в	Acc	2	0.68
сумма	до	Nom	2	2.47
сумма	при	Dat	2	2.47
сумма	к	Loc	2	2.46
сумма	с	Acc	2	2.46
сумма	п	Gen	2	2.42
сумма	за	Ins	2	2.39
сумма	об	Loc	2	2.35
смысл	вместо	Gen	2	4.02
смысл	без	Gen	2	3.54
начало	под	Acc	2	3.8
начало	около	Gen	2	3.76
шаг	τ	Loc	2	3.65
шаг	про	Gen	2	3.64
шаг	из	Ins	2	3.63
шаг	с	Acc	2	3.62
шаг	п	Gen	2	3.54
шаг	про	Acc	2	3.44
шаг	со	Gen	2	3.44
шаг	относительно	Gen	2	3.3
шаг	под	Ins	2	3.27
группа	перед	Ins	2	2.0
группа	за	Acc	2	1.72
параметр	c	Nom	2	4.26
параметр	благодаря	Dat	2	4.2
представление	𝑉	Gen	2	4.12
представление	кроме	Gen	2	3.98
программа	вне	Gen	2	4.13
программа	при	Gen	2	4.03
программа	после	Gen	2	3.74
программа	на	Gen	2	3.43
программа	за	Acc	2	3.16
работа	вследствие	Gen	2	2.42
работа	к	Loc	2	2.41
работа	-	Gen	2	2.4
работа	согласно	Dat	2	2.33
работа	над	Ins	2	2.17
работа	на	Gen	2	2.15
определение	подобно	Dat	2	2.49
определение	при	Gen	2	2.43
факт	в	Ins	2	4.47
факт	согласно	Dat	2	4.35
факт	через	Acc	2	3.79
факт	за	Acc	2	3.41
следствие	в	Ins	2	4.72
следствие	среди	Gen	2	4.46
следствие	после	Gen	2	4.3
следствие	при	Loc	2	2.95
следствие	с	Gen	2	2.48
следствие	на	Acc	2	1.77
подмножество	в	Nom	2	3.66
подмножество	по	Gen	2	3.55
подмножество	про	Acc	2	3.51
подмножество	без	Gen	2	3.19
подмножество	до	Gen	2	2.83
гипотеза	по	Ins	2	3.85
гипотеза	про	Acc	2	3.68
гипотеза	у	Gen	2	3.29
гипотеза	за	Acc	2	3.01
понятие	помимо	Gen	2	3.78
понятие	кроме	Gen	2	3.71
понятие	вокруг	Gen	2	3.7
понятие	со	Ins	2	3.15
алгоритм	до	Nom	2	2.46
алгоритм	с	Acc	2	2.45
алгоритм	на	Nom	2	2.44
алгоритм	за	Gen	2	2.34
алгоритм	без	Gen	2	2.22
правило	вопреки	Dat	2	3.61
правило	+	Nom	2	3.61
правило	на	Dat	2	3.6
правило	посредством	Gen	2	3.58
правило	по	Ins	2	3.55
правило	вместо	Gen	2	3.46
правило	про	Acc	2	3.41
правило	у	Gen	2	3.09
правило	на	Gen	2	3.05
правило	со	Ins	2	3.01
правило	за	Acc	2	2.84
сложение	путем	Gen	2	5.08
сложение	кроме	Gen	2	4.85
сложение	при	Gen	2	4.78
сложение	со	Gen	2	4.61
сложение	через	Acc	2	3.95
сложение	между	Ins	2	3.68
степень	p	Gen	2	2.72
степень	𝑞	Gen	2	2.72
степень	на	Nom	2	2.68
степень	-	Gen	2	2.68
степень	кроме	Gen	2	2.66
степень	в	Ins	2	2.63
степень	за	Gen	2	2.57
степень	по	Acc	2	2.49
степень	за	Acc	2	2.25
условие	для	Nom	2	2.88
условие	на	Dat	2	2.88
условие	плюс	Nom	2	2.88
условие	к	Loc	2	2.87
условие	ввиду	Gen	2	2.87
условие	-	Gen	2	2.85
условие	кроме	Gen	2	2.82
условие	по	Gen	2	2.78
условие	за	Ins	2	2.78
условие	до	Gen	2	2.32
свойство	вследствие	Gen	2	2.82
свойство	до	Ins	2	2.82
свойство	в	Nom	2	2.79
свойство	при	Gen	2	2.75
свойство	за	Acc	2	2.33
отношение	𝑥	Ins	2	3.77
отношение	помимо	Gen	2	3.71
отношение	в	Ins	2	3.61
отношение	вместо	Gen	2	3.6
отношение	по	Gen	2	3.59
отношение	среди	Gen	2	3.48
отношение	при	Loc	2	2.53
отношение	на	Loc	2	1.27
формулировка	кроме	Gen	2	4.86
формулировка	согласно	Dat	2	4.61
формулировка	до	Gen	2	3.43
формулировка	о	Loc	2	3.05
нуль	𝑟	Gen	2	3.53
нуль	к	Gen	2	3.49
нуль	𝑛	Gen	2	3.49
нуль	около	Gen	2	3.45
нуль	среди	Gen	2	3.29
нуль	за	Acc	2	2.79
очередь	в	Nom	2	5.06
очередь	в	Ins	2	4.83
очередь	с	Gen	2	2.51
очередь	на	Loc	2	1.44
материал	в	Ins	2	4.64
материал	согласно	Dat	2	4.5
материал	без	Gen	2	3.94
материал	до	Gen	2	3.38
студент	в	Nom	2	5.15
студент	перед	Ins	2	5.12
студент	на	Gen	2	3.97
курс	из	Acc	2	3.88
курс	к	Acc	2	3.87
курс	помимо	Gen	2	3.83
курс	внутри	Gen	2	3.7
порядок	вдоль	Loc	2	3.07
порядок	о	Gen	2	3.06
порядок	под	Acc	2	3.03
порядок	вне	Gen	2	3.02
порядок	по	Gen	2	2.95
порядок	среди	Gen	2	2.89
порядок	под	Ins	2	2.8
порядок	через	Acc	2	2.69
порядок	у	Gen	2	2.69
порядок	за	Acc	2	2.5
ученик	про	Gen	2	5.08
ученик	перед	Ins	2	4.9
ученик	за	Ins	2	4.66
ученик	о	Loc	2	3.04
школа	к	Loc	2	3.75
школа	среди	Gen	2	3.49
школа	у	Gen	2	3.2
г.	к	Acc	2	3.59
г.	с	Ins	2	1.11
г.	из	Gen	2	0.95
текст	помимо	Gen	2	4.09
текст	об	Loc	2	3.79
текст	через	Acc	2	3.44
текст	при	Loc	2	2.68
язык	𝑥	Dat	2	3.03
язык	+	Acc	2	3.03
язык	помимо	Gen	2	3.0
язык	в	Ins	2	2.93
язык	про	Acc	2	2.89
язык	об	Loc	2	2.85
язык	относительно	Gen	2	2.8
язык	под	Ins	2	2.77
язык	при	Loc	2	2.17
система	к	Loc	2	2.13
система	под	Acc	2	2.12
система	вне	Gen	2	2.12
система	в	Ins	2	2.08
система	под	Ins	2	1.99
система	за	Acc	2	1.81
доказательство	ê	Nom	2	2.51
доказательство	при	Acc	2	2.51
доказательство	путем	Gen	2	2.5
доказательство	по	Ins	2	2.48
доказательство	в	Ins	2	2.44
доказательство	по	Gen	2	2.43
эквивалентность	относительно	Gen	2	4.48
эквивалентность	без	Gen	2	4.14
эквивалентность	между	Ins	2	3.79
эквивалентность	в	Gen	2	2.84
эквивалентность	на	Acc	2	1.8
эквивалентность	по	Dat	2	1.49
эквивалентность	с	Ins	2	1.31
эквивалентность	для	Gen	2	1.19
формула	для	Nom	2	2.46
формула	𝑥	Acc	2	2.46
формула	𝜙	Gen	2	2.46
формула	в	Dat	2	2.45
формула	к	Loc	2	2.45
формула	со	Gen	2	2.37
формула	среди	Gen	2	2.34
форма	над	Loc	2	3.29
форма	𝑉	Gen	2	3.29
форма	по	Loc	2	3.28
форма	-	Gen	2	3.25
форма	помимо	Gen	2	3.25
форма	п	Gen	2	3.21
форма	при	Gen	2	3.19
форма	вместо	Gen	2	3.17
форма	за	Gen	2	3.09
форма	об	Loc	2	3.08
форма	после	Gen	2	3.02
форма	при	Loc	2	2.31
теория	вроде	Gen	2	2.02
теория	от	Ins	2	2.02
теория	перед	Ins	2	2.0
теория	вокруг	Gen	2	1.98
теория	за	Gen	2	1.93
теория	после	Gen	2	1.9
анализ	из	Nom	2	3.54
анализ	посредством	Gen	2	3.52
анализ	над	Ins	2	3.04
идея	кроме	Gen	2	4.18
идея	за	Ins	2	4.09
идея	у	Gen	2	3.56
идея	над	Ins	2	3.55
утверждение	вопреки	Dat	2	3.02
утверждение	при	Nom	2	3.02
утверждение	по	Nom	2	3.02
утверждение	для	Nom	2	3.01
утверждение	вместо	Gen	2	2.92
утверждение	со	Gen	2	2.88
утверждение	при	Loc	2	2.16
последовательность	про	Loc	2	2.79
последовательность	посредством	Gen	2	2.77
последовательность	c	Gen	2	2.76
последовательность	по	Gen	2	2.7
последовательность	за	Ins	2	2.69
последовательность	на	Gen	2	2.44
последовательность	со	Ins	2	2.42
половина	через	Acc	2	3.87
половина	о	Loc	2	3.0
вывод	для	Nom	2	4.8
вывод	над	Ins	2	3.81
рассуждение	путем	Gen	2	4.81
рассуждение	по	Gen	2	4.49
рассуждение	согласно	Dat	2	4.4
рассуждение	без	Gen	2	3.87
рассуждение	у	Gen	2	3.82
рассуждение	через	Acc	2	3.82
рассуждение	за	Acc	2	3.43
компьютер	среди	Gen	2	4.73
компьютер	о	Loc	2	3.13
компьютер	в	Gen	2	2.86
скорость	благодаря	Dat	2	4.4
скорость	за	Gen	2	4.05
скорость	без	Gen	2	3.68
скорость	в	Gen	2	2.63
скорость	в	Acc	2	1.34
результат	вследствие	Gen	2	2.8
результат	-	Gen	2	2.77
результат	помимо	Gen	2	2.77
результат	вокруг	Gen	2	2.74
результат	вместо	Gen	2	2.71
результат	за	Gen	2	2.65
дело	за	Loc	2	3.7
дело	в	Ins	2	3.54
дело	у	Gen	2	3.14
закон	вследствие	Gen	2	4.06
закон	помимо	Gen	2	4.01
закон	-	Gen	2	4.0
закон	под	Acc	2	4.0
закон	вокруг	Gen	2	3.92
закон	вместо	Gen	2	3.87
закон	про	Acc	2	3.81
закон	за	Gen	2	3.74
закон	среди	Gen	2	3.73
закон	под	Ins	2	3.59
направление	на	Gen	2	3.55
направление	со	Ins	2	3.5
направление	до	Gen	2	3.18
запись	𝑚	Gen	2	4.42
запись	𝑓	Gen	2	4.42
запись	при	Gen	2	4.21
запись	за	Ins	2	4.15
запись	под	Ins	2	3.83
основание	-	Gen	2	4.67
основание	вдоль	Gen	2	4.57
основание	за	Gen	2	4.27
математика	к	Nom	2	2.4
математика	в	Gen	2	1.71
автор	-	Gen	2	4.05
автор	за	Ins	2	3.9
автор	со	Gen	2	3.85
автор	за	Gen	2	3.78
автор	среди	Gen	2	3.77
автор	за	Acc	2	3.12
вариант	в	Acc	2	1.29
ошибка	над	Ins	2	3.72
-	у	Gen	2	1.04
-	на	Acc	2	0.49
исследование	путем	Gen	2	3.65
исследование	между	Ins	2	2.96
исследование	до	Gen	2	2.8
информация	ради	Gen	2	4.18
информация	о	Gen	2	4.17
информация	про	Acc	2	3.9
информация	относительно	Gen	2	3.71
информация	между	Ins	2	3.26
информация	за	Acc	2	3.15
информация	о	Loc	2	2.77
информация	на	Acc	2	1.65
изменение	вследствие	Gen	2	5.25
изменение	помимо	Gen	2	5.13
изменение	по	Gen	2	4.82
